seller-sku	fulfillment-channel-sku	asin	condition-type	Warehouse-Condition-code	Quantity Available
10362	X001COOD5R	B00AZBIXHG	UsedAcceptable	SELLABLE	0
10430	X001CW12I5	B001AQEQNA	UsedAcceptable	SELLABLE	0
10489	X001D40U1R	B00UL3JU8Y	UsedAcceptable	SELLABLE	0
10519	X001CWG9LZ	B00VGGVQCI	UsedAcceptable	SELLABLE	0
10371	X001CQ1VVT	B01M04LR6P	UsedGood	SELLABLE	0
10456	X001CXO24Z	B006KKS7XQ	UsedAcceptable	SELLABLE	0
10512	X001CX59XX	B001HSMW82	UsedAcceptable	SELLABLE	0
10506	X001CX5SL1	B00X9K1EDK	UsedAcceptable	SELLABLE	0
10502	X001CY5HS9	B00TR78QUI	UsedAcceptable	SELLABLE	0
10459	X001CY5HRZ	B002S4DI2S	UsedAcceptable	SELLABLE	0
10513	X001CZYJH3	B001HSMW82	UsedAcceptable	SELLABLE	0
10352	X001CRRRYD	B00005QFL0	UsedAcceptable	SELLABLE	0
10508	X001CXU9IN	B003R28HWQ	UsedGood	SELLABLE	0
10392	X001CQDVWB	B006LXOJC0	UsedAcceptable	SELLABLE	0
10394	X001CP95QD	B00SSBKZYY	UsedGood	SELLABLE	0
10408	X001CR0ZFL	B00004S1B8	UsedAcceptable	SELLABLE	0
10473	X001CY5IBZ	B0106RV5JG	UsedGood	SELLABLE	0
10524	X001D3RLO7	B00V69GJOU	UsedGood	SELLABLE	0
10365	X001CVURSH	B003XU3C7M	UsedAcceptable	SELLABLE	0
10344	X001CQE657	B000TTSXNI	UsedAcceptable	SELLABLE	0
10355	X001CQEQZR	B00004RC6S	UsedAcceptable	SELLABLE	0
10490	X001CWO4DF	B00EAQJCWW	UsedGood	SELLABLE	0
10348	X001CQER3N	B008DBRFBK	UsedAcceptable	SELLABLE	0
10414	X001CPYV4J	B00MVWGQX0	UsedAcceptable	SELLABLE	0
10402	X001CRTMAZ	B01I20TMGC	UsedGood	SELLABLE	0
10457	X001D2FCM1	B00AZBIXHG	UsedAcceptable	SELLABLE	0
10340	X001CP95OZ	B000TGDGLU	UsedGood	SELLABLE	0
10409	X001CQTS9V	B00WWO2JWO	UsedGood	SELLABLE	0
10426	X001CSFOKB	B00AN9UJ68	UsedGood	SELLABLE	0
10360	X001CRRRQV	B002FQJW4W	UsedGood	SELLABLE	0
10337	X001CQRNBV	B005MMN75G	UsedAcceptable	SELLABLE	0
10369	X001CVK6JR	B0043095WW	UsedAcceptable	SELLABLE	0
10438	X001CP8B7H	B000QBFFU8	UsedAcceptable	SELLABLE	0
10460	X001D2NG0B	B00H4O1L9Y	UsedAcceptable	SELLABLE	0
10425	X001CQ2HR1	B00IP27DFA	UsedAcceptable	SELLABLE	0
10500	X001CXWWXX	B000J4LCS6	UsedGood	SELLABLE	0
10448	X001CZER11	B007K9OIMU	UsedGood	SELLABLE	0
10410	X001CVK6JH	B0044XDA3S	UsedGood	SELLABLE	0
10376	X001CQBQHX	B00P20D05A	UsedAcceptable	SELLABLE	0
10420	X001CQ3225	B003LXY2HA	UsedAcceptable	SELLABLE	0
10517	X001CXS1A1	B000QBFFU8	UsedAcceptable	SELLABLE	0
10452	X001CYA3FB	B001BYW3NG	UsedAcceptable	SELLABLE	0
10404	X001CRVJDN	B0043095WW	UsedAcceptable	SELLABLE	0
10351	X001CQ2I1V	B015NZE6HO	UsedAcceptable	SELLABLE	0
10398	X001CS0JIN	B00K8OKWI8	UsedGood	SELLABLE	0
10437	X001CQATK3	B00G00BTEA	UsedGood	SELLABLE	0
10469	X001CXMI9V	B01FN0XGBQ	UsedGood	SELLABLE	0
10433	X001CQV28V	B00C4RRNEI	UsedGood	SELLABLE	0
10466	X001CX5SMF	B003VWXZQ0	UsedGood	SELLABLE	0
10505	X001CXSN9F	B000QBFFU8	UsedAcceptable	SELLABLE	0
10576	X001CXORPT	B000BQS3I4	UsedAcceptable	SELLABLE	0
10637	X001CXN5JD	B0002JTD2A	UsedAcceptable	SELLABLE	0
10568	X001CXORPJ	B0000CFH7X	UsedGood	SELLABLE	0
10584	X001CXTDWB	B01669UNR8	UsedGood	SELLABLE	0
10645	X001CVULRT	B00RL9L9F8	UsedAcceptable	SELLABLE	0
10529	X001CX59DN	B0046JYVME	UsedAcceptable	SELLABLE	0
10621	X001CWQPC3	B0037ZG3DS	UsedAcceptable	SELLABLE	0
10717	X001CXZX39	B008A852ZW	UsedAcceptable	SELLABLE	0
10571	X001CWO4AN	B0106RV5JG	UsedGood	SELLABLE	0
10615	X001D42B87	B0041OEB7E	UsedLikeNew	SELLABLE	0
10681	X001CR4FG1	B00N4MHJLO	UsedGood	SELLABLE	0
10618	X001D3XCUT	B002FYTRCQ	UsedGood	SELLABLE	0
10597	X001CXO1XH	B00BGTLT9K	UsedAcceptable	SELLABLE	0
10697	X001D2ORAT	B01DPZ56OG	UsedAcceptable	SELLABLE	0
10651	X001CXSNE5	B00WBJGUA2	UsedGood	SELLABLE	0
10675	X001CSFN43	B00DB8YMN4	UsedGood	SELLABLE	0
10586	X001CY5B17	B00QUWPF6G	UsedGood	SELLABLE	0
10633	X001CXWOZT	B00L7RU8C0	UsedGood	SELLABLE	0
10710	X001CY1G6B	B006WS39NE	UsedAcceptable	SELLABLE	0
10670	X001CY9XA7	B002WNU7OW	UsedAcceptable	SELLABLE	0
10528	X001D4ZBQL	B009PLQ5H2	UsedAcceptable	SELLABLE	0
10698	X001CZEQW1	B004Q4DRJW	UsedAcceptable	SELLABLE	0
10677	X001D2ORBD	B000NNECX0	UsedGood	SELLABLE	0
10634	X001CX59KV	B00KMSLH9I	UsedGood	SELLABLE	0
10585	X001CX59L5	B00ILLV46Y	UsedGood	SELLABLE	0
10632	X001D2WRSD	B018UQ5VEK	UsedGood	SELLABLE	0
10685	X001CXN5IT	B00QY3O74C	UsedGood	SELLABLE	0
10691	X001D2FW3P	B000EW6EGI	UsedAcceptable	SELLABLE	0
10604	X001CXN2O1	B01BLJ4ZYU	UsedGood	SELLABLE	0
10705	X001D2X2O1	B006LXOJC0	UsedAcceptable	SELLABLE	0
10699	X001CXUIX9	B00K0F64E6	UsedGood	SELLABLE	0
10555	X001D3BBST	B01669UNR8	UsedAcceptable	SELLABLE	0
10628	X001CZ108J	B000QBFFU8	UsedAcceptable	SELLABLE	0
10676	X001CY5IBF	B000EZV3T8	UsedGood	SELLABLE	0
10730	X001CXW4GN	B018UQ5VEK	UsedGood	SELLABLE	0
10540	X001CY249J	B001NZPP6U	UsedGood	SELLABLE	0
10549	X001CZ1089	B00DKXZK2W	UsedAcceptable	SELLABLE	0
10565	X001CY9X2Z	B01DA4REHE	UsedAcceptable	SELLABLE	0
10536	X001D2FW3Z	B0037ZG3DS	UsedGood	SELLABLE	0
10686	X001CXSNFT	B000BQSKSM	UsedAcceptable	SELLABLE	0
10539	X001CWNM65	B00DRBBRU6	UsedAcceptable	SELLABLE	0
